Level: WARNING | Time: 2024-12-20 21:58:43,321 | Module: log | Message: Not Found: /media/batches/thumbnails/logo5.png
Level: WARNING | Time: 2024-12-20 21:58:43,322 | Module: basehttp | Message: "GET /media/batches/thumbnails/logo5.png HTTP/1.1" 404 4065
Level: WARNING | Time: 2024-12-20 21:59:07,859 | Module: log | Message: Not Found: /media/batches/thumbnails/logo5.png
Level: WARNING | Time: 2024-12-20 21:59:07,860 | Module: basehttp | Message: "GET /media/batches/thumbnails/logo5.png HTTP/1.1" 404 4065
Level: WARNING | Time: 2024-12-20 21:59:36,081 | Module: log | Message: Not Found: /media/batches/thumbnails/logo5.png
Level: WARNING | Time: 2024-12-20 21:59:36,082 | Module: basehttp | Message: "GET /media/batches/thumbnails/logo5.png HTTP/1.1" 404 4065
Level: WARNING | Time: 2024-12-20 21:59:41,595 | Module: log | Message: Not Found: /media/sheets/thumbnails/Assesment_II_3.png
Level: WARNING | Time: 2024-12-20 21:59:41,599 | Module: log | Message: Not Found: /media/sheets/thumbnails/2.png
Level: WARNING | Time: 2024-12-20 21:59:41,604 | Module: basehttp | Message: "GET /media/sheets/thumbnails/Assesment_II_3.png HTTP/1.1" 404 4097
Level: WARNING | Time: 2024-12-20 21:59:41,604 | Module: basehttp | Message: "GET /media/sheets/thumbnails/2.png HTTP/1.1" 404 4045
Level: WARNING | Time: 2024-12-20 21:59:41,609 | Module: log | Message: Not Found: /media/sheets/thumbnails/Assesment_II_4.png
Level: WARNING | Time: 2024-12-20 21:59:41,612 | Module: log | Message: Not Found: /media/sheets/thumbnails/chakra3.png
Level: WARNING | Time: 2024-12-20 21:59:41,613 | Module: basehttp | Message: "GET /media/sheets/thumbnails/Assesment_II_4.png HTTP/1.1" 404 4097
Level: WARNING | Time: 2024-12-20 21:59:41,613 | Module: basehttp | Message: "GET /media/sheets/thumbnails/chakra3.png HTTP/1.1" 404 4069
Level: WARNING | Time: 2024-12-20 21:59:41,618 | Module: log | Message: Not Found: /media/sheets/thumbnails/Designer_4_h0Xw0hZ.jpeg
Level: WARNING | Time: 2024-12-20 21:59:41,619 | Module: basehttp | Message: "GET /media/sheets/thumbnails/Designer_4_h0Xw0hZ.jpeg HTTP/1.1" 404 4117
